SITE,year,month,monthly_mean
BULL,2005,Aug,16.816
BULL,2005,Sep,14.992
BULL,2005,Oct,14.586
BULL,2005,Nov,15.336
BULL,2005,Dec,14.384
BULL,2006,Jan,12.993
BULL,2006,Feb,13.077
BULL,2006,Mar,11.249
BULL,2006,Apr,12.107
BULL,2006,May,13.328
BULL,2006,Jun,14.175
BULL,2006,Jul,15.912
BULL,2006,Aug,16.418
BULL,2006,Sep,16.019
BULL,2006,Oct,16.181
BULL,2006,Nov,15.663
BULL,2006,Dec,14.608
BULL,2007,Jan,13.23
BULL,2007,Feb,13.569
BULL,2007,Mar,12.514
BULL,2007,Apr,12.007
BULL,2007,May,12.285
BULL,2007,Jun,14.046
BULL,2007,Jul,16.033
BULL,2007,Aug,15.957
BULL,2007,Sep,15.024
BULL,2007,Oct,13.406
BULL,2007,Nov,14.044
BULL,2007,Dec,12.817
BULL,2008,Jan,12.785
BULL,2008,Feb,12.446
BULL,2008,Mar,11.505
BULL,2008,Apr,10.703
BULL,2008,May,11.791
BULL,2008,Jun,13.294
BULL,2008,Jul,15.253
BULL,2008,Aug,17.772
BULL,2008,Sep,16.821
BULL,2008,Oct,15.224
BULL,2008,Nov,14.788
BULL,2008,Dec,13.711
BULL,2009,Jan,13.054
BULL,2009,Feb,12
BULL,2009,Mar,11.546
BULL,2009,Apr,10.777
BULL,2009,May,11.742
BULL,2009,Jun,13.183
BULL,2009,Jul,14.905
BULL,2009,Aug,15.297
BULL,2009,Sep,17.554
BULL,2009,Oct,16.39
BULL,2009,Nov,15.549
BULL,2009,Dec,14.139
BULL,2010,Jan,14.551
BULL,2010,Feb,14.195
BULL,2010,Mar,12.4
BULL,2010,Apr,12.298
BULL,2010,May,11.15
BULL,2010,Jun,14.073
BULL,2010,Jul,14.284
BULL,2010,Aug,13.945
BULL,2010,Sep,14.039
BULL,2010,Oct,15.498
BULL,2010,Nov,13.963
BULL,2010,Dec,12.731
BULL,2011,Jan,12.75
BULL,2011,Feb,13.176
BULL,2011,Mar,11.241
BULL,2011,Apr,11.554
BULL,2011,May,11.544
BULL,2011,Jun,13.334
BULL,2011,Jul,15.661
BULL,2011,Aug,15.492
BULL,2011,Sep,15.684
BULL,2011,Oct,15.056
BULL,2011,Nov,14.468
BULL,2011,Dec,13.918
BULL,2012,Jan,13.694
BULL,2012,Feb,12.645
BULL,2012,Mar,11.432
BULL,2012,Apr,11.747
BULL,2012,May,12.639
BULL,2012,Jun,14.431
BULL,2012,Jul,15.157
BULL,2012,Aug,16.685
BULL,2012,Sep,17.176
BULL,2012,Oct,16.955
BULL,2012,Nov,15.501
BULL,2012,Dec,14.523
BULL,2013,Jan,12.271
BULL,2013,Feb,12.267
BULL,2013,Mar,12.818
BULL,2013,Apr,12.405
BULL,2013,May,13.717
BULL,2013,Jun,15.227
BULL,2013,Jul,15.878
BULL,2013,Aug,15.722
BULL,2013,Sep,15.407
BULL,2013,Oct,16.422
BULL,2013,Nov,15.798
BULL,2013,Dec,14.314
BULL,2014,Jan,14.929
BULL,2014,Feb,14.023
BULL,2014,Mar,14.043
BULL,2014,Apr,12.067
BULL,2014,May,13.014
BULL,2014,Jun,15.634
BULL,2014,Jul,17.756
BULL,2014,Aug,17.165
BULL,2014,Sep,17.245
BULL,2014,Oct,19.199
BULL,2014,Nov,17.845
BULL,2014,Dec,17.252
BULL,2015,Jan,16.11
BULL,2015,Feb,15.915
BULL,2015,Mar,15.44
BULL,2015,Apr,12.921
BULL,2015,May,12.959
BULL,2015,Jun,15.346
BULL,2015,Jul,16.402
BULL,2015,Aug,17.73
BULL,2015,Sep,20.618
BULL,2015,Oct,19.248
BULL,2015,Nov,16.772
BULL,2015,Dec,16.023
BULL,2016,Jan,14.47
BULL,2016,Feb,14.629
BULL,2016,Mar,13.934
BULL,2016,Apr,13.073
BULL,2016,May,13.546
BULL,2016,Jun,14.686
BULL,2016,Jul,16.47
BULL,2016,Aug,16.713
BULL,2016,Sep,16.885
BULL,2016,Oct,15.805
BULL,2016,Nov,15.662
BULL,2016,Dec,14.111
BULL,2017,Jan,13.705
BULL,2017,Feb,13.736
BULL,2017,Mar,13.115
BULL,2017,Apr,11.79
BULL,2017,May,12.874
BULL,2017,Jun,14.728
BULL,2017,Jul,16.577
BULL,2017,Aug,17.238
BULL,2017,Sep,16.639
BULL,2017,Oct,16.986
BULL,2017,Nov,15.704
BULL,2017,Dec,15.124
BULL,2018,Jan,14.879
BULL,2018,Feb,13.895
BULL,2018,Mar,12.745
BULL,2018,Apr,11.934
BULL,2018,May,12.389
BULL,2018,Jun,15.333
BULL,2018,Jul,17.294
BULL,2018,Aug,18.622
BULL,2018,Sep,17.442
BULL,2018,Oct,17.937
BULL,2018,Nov,17.851
BULL,2018,Dec,15.115
BULL,2019,Jan,14.882
BULL,2019,Feb,13.666
BULL,2019,Mar,12.89
BULL,2019,Apr,12.744
BULL,2019,May,12.404
BULL,2019,Jun,14.987
BULL,2019,Jul,15.708
BULL,2019,Aug,16.299
BULL,2019,Sep,17.122
BULL,2019,Oct,16.272
BULL,2019,Nov,16.49
BULL,2019,Dec,14.775
BULL,2020,Jan,14.606
BULL,2020,Feb,14.689
BULL,2020,Mar,14.676
BULL,2020,Apr,13.604
BULL,2020,May,13.117
BULL,2020,Jun,14.751
BULL,2020,Jul,15.351
BULL,2020,Aug,16.028
BULL,2020,Sep,17.176
BULL,2020,Oct,18.18
BULL,2020,Nov,14.324
BULL,2020,Dec,13.877
BULL,2021,Jan,13.417
BULL,2021,Feb,12.298
BULL,2021,Mar,11.418
BULL,2021,Apr,11.776
BULL,2021,May,13.734
CARP,2002,Aug,15.499
CARP,2002,Sep,14.878
CARP,2002,Oct,15.852
CARP,2002,Nov,15.497
CARP,2002,Dec,14.899
CARP,2003,Jan,15.035
CARP,2003,Feb,15.034
CARP,2003,Mar,13.744
CARP,2003,Apr,12.898
CARP,2003,May,13.509
CARP,2003,Jun,15.505
CARP,2003,Jul,17.123
CARP,2003,Aug,14.651
CARP,2003,Sep,16.321
CARP,2003,Oct,17.198
CARP,2003,Nov,16.404
CARP,2003,Dec,14.038
CARP,2004,Jan,13.425
CARP,2004,Feb,13.185
CARP,2004,Mar,14.31
CARP,2004,Apr,14.681
CARP,2004,May,15
CARP,2004,Jun,16.467
CARP,2004,Jul,15.385
CARP,2004,Aug,16.778
CARP,2004,Sep,19.019
CARP,2004,Oct,17.821
CARP,2004,Nov,16.8
CARP,2004,Dec,14.958
